material_id,band_gap,is_gap_direct,symmetry.crystal_system
mp-11107,3.522599999999999,False,trigonal
mp-27972,4.103299999999999,False,hexagonal
mp-30274,4.241,True,tetragonal
mp-27971,5.0865,False,hexagonal
mp-30273,4.4451,False,tetragonal
mp-18125,0.258499999999999,True,monoclinic
mp-567334,2.7028,True,cubic
mp-654937,0.7248000000000001,False,monoclinic
mp-732005,0.16560000000000002,False,monoclinic
mp-568386,0.9637000000000001,False,orthorhombic
mp-568392,0.8722000000000001,False,orthorhombic
mp-1195193,0.22229999999999903,True,monoclinic
mp-1199256,0.33329999999999904,False,monoclinic
mp-560328,1.288799999999999,False,cubic
mp-28729,0.056799999999999004,False,trigonal
mp-1197575,0.533399999999999,False,monoclinic
mp-554873,3.4397,False,monoclinic
mp-559071,1.6367999999999991,False,triclinic
mp-23558,0.38720000000000004,True,orthorhombic
mp-561113,0.5053000000000001,True,monoclinic
mp-556345,1.6045,False,orthorhombic
mp-574486,1.0037,True,monoclinic
mp-4691,0.4736,False,monoclinic
mp-560717,0.7489999999999991,True,trigonal
mp-680067,2.5318,True,monoclinic
mp-1196546,2.8072,False,trigonal
mp-554988,1.0401,False,monoclinic
mp-983589,0.2116,False,orthorhombic
mp-861942,1.3699,False,orthorhombic
mp-9900,0.4646,False,orthorhombic
mp-567645,3.5031,False,orthorhombic
mp-723002,2.9514,True,tetragonal
mp-1196868,1.8311000000000002,False,orthorhombic
mp-690687,1.4591,False,monoclinic
mp-860963,2.8821,False,orthorhombic
mp-1202149,1.894899999999999,False,monoclinic
mp-558763,1.9351,True,orthorhombic
mp-553949,0.16060000000000002,True,monoclinic
mp-23592,0.8340999999999991,False,cubic
mp-571425,0.7716000000000001,False,monoclinic
mp-672339,0.7439,False,monoclinic
mp-23485,1.2219,True,tetragonal
mp-570256,1.100399999999999,True,tetragonal
mp-29816,0.41029999999999905,True,tetragonal
mp-9635,0.41909999999999903,False,monoclinic
mp-556866,1.2212,True,orthorhombic
mp-557396,1.4835,False,orthorhombic
mp-1203404,1.9610999999999992,False,monoclinic
mp-27966,1.9011,True,triclinic
mp-560276,2.0118,False,monoclinic
mp-556429,1.7276999999999991,False,monoclinic
mp-19318,1.873099999999999,True,cubic
mp-557303,1.71,False,orthorhombic
mp-546190,0.34700000000000003,False,orthorhombic
mp-1195759,2.1369,False,orthorhombic
mp-557644,2.3697,False,triclinic
mp-1190325,1.166799999999999,False,monoclinic
mp-707138,1.3274,False,trigonal
mp-558151,1.0803,False,monoclinic
mp-558469,1.9254,False,monoclinic
mp-561822,1.440099999999999,False,orthorhombic
mp-13956,1.186599999999999,False,orthorhombic
mp-667327,2.2477,False,monoclinic
mp-20210,1.3818000000000001,False,monoclinic
mp-1195817,1.840399999999999,False,monoclinic
mp-28557,0.9506000000000001,False,orthorhombic
mp-1102900,1.183999999999999,False,monoclinic
mp-2018369,1.5694,True,monoclinic
mp-610517,1.000699999999999,False,monoclinic
mp-1192057,2.301599999999999,False,triclinic
mp-30982,2.3467000000000002,True,monoclinic
mp-5625,1.2289,False,orthorhombic
mp-16913,1.7022,False,monoclinic
mp-2748718,2.093499999999999,False,monoclinic
mp-11641,0.42639999999999906,False,orthorhombic
